pdf,month,sex_analysis,sex_aware_level,title_keywords,sex_keywords,n_keywords
Alzheimer s   Dementia - 2025 - McLachlan - The striatum is an early  accurate indicator of amyloid burden using  11C PiB.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mei - Unraveling sex differences in Alzheimer s disease and related endophenotypes with.pdf,March,Yes,sex-aware main focus,sex; sex differences,estrogen; female-specific; male-specific; sex; sex differences; sex interaction; sex-specific; sex-stratified; sex-stratified analysis,9
Alzheimer s   Dementia - 2025 - Meza - Intergenerational upward educational mobility and cognitive performance  results.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mmadumbu - Early detection of Alzheimer s disease using deep learning methods.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Molen - Changing definitions of disease  Transformations in the diagnostic criteria for.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mutel - Resilience in Alzheimer s disease  Impact of operationalization and methodological.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Nishimoto - Distinct patterns of cognitive traits in extreme old age and Alzheimer s.pdf,March,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Oeckl - Early increase of the synaptic blood marker  ‐synuclein in asymptomatic autosomal.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Oyagbemi - Apigenin mitigates oxidative stress  neuroinflammation  and cognitive impairment.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pan - Federated learning with multi‐cohort real‐world data for predicting the progression.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Papp - Baseline cognition and demographic  lifestyle  and cardiovascular risk factors in US.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pike - Cognitive benefits of hearing intervention vary by risk of cognitive decline  A.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pola - Exploring inflammation‐related protein expression and its relationship with TSPO PET.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rea Reyes - Targeted proteomic biomarker profiling using NULISA in a cohort enriched with.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rodda - Global multi‐specialty clinician perspectives on the implementation of Alzheimer s.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Russell - Brain cholinergic terminal density utilizing  18F ‐fluoroethoxybenzovesamicol PET.pdf,March,Yes,sex-aware consideration,none,menopause,1
Alzheimer s   Dementia - 2025 - Salardini - Elevated serum cortisol associated with early‐detected increase of brain.pdf,March,Yes,sex-aware consideration,none,estrogen; menopause; sex differences; sex-specific; testosterone,5
Alzheimer s   Dementia - 2025 - Samuelsson - A comparative study of the EAT‐Lancet diet and the Mediterranean diet in.pdf,March,Yes,sex-aware consideration,none,sex-specific; stratified by sex,2
Alzheimer s   Dementia - 2025 - Sauer - Development and validation of a novel Simoa assay for NPTX2 in Alzheimer s disease.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sárkány - Association between the use of levodopa carbidopa  Alzheimer s disease biomarkers.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Schaar - Deciding on genetic testing for familial dementia  Perspectives of patients and.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Settimi - Examining the association between sleep apnea and total hippocampal volumes in.pdf,March,Yes,sex-aware consideration,none,sex differences; sex-specific,2
Alzheimer s   Dementia - 2025 - Shadyab - Effects of exercise versus usual care on older adults with amnestic mild.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tang - Glycated hemoglobin and body mass index as mediators of GLP‐1RAs and Alzheimer s.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Uchida - Quantification of perforant path fibers for early detection of Alzheimer s disease.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Valle‐Tamayo - Nerve growth factor precursor alterations in neuron‐derived extracellular.pdf,March,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Wang - Cognitive implications and associated transcriptomic signatures of distinct regional.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wu - Tauopathy after long‐term cervical lymphadenectomy.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Young - Long sleep duration  cognitive performance  and the moderating role of depression .pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zaheed - Sleep trajectories across three cognitive‐aging pathways in community older adults.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zhou - Blood‐based biomarkers for Alzheimer s disease in Down syndrome  A systematic review.pdf,March,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - dos Reis - Kynurenine pathway metabolite alterations in Down syndrome and Alzheimer s.pdf,March,No,none,none,,0
Alzheimer s   Dementia - 2025 - Abu Raya - Sex differences in amyloid PET in a large  real‐world sample from the Imaging.pdf,April,Yes,sex-aware main focus,sex; sex differences,gender-specific; menopause; sex; sex differences; sex-specific; sex-stratified; stratified by sex,7
Alzheimer s   Dementia - 2025 - Adegboye - LC‐MS MS proteomics identifies plasma proteins related to cognition over 9‐year.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Angrisani - Dementia caregiving in India  New evidence from a National representative.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bi - NDDRF 2 0  An update and expansion of risk factor knowledge base for personalized.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Brown - Tau burden is best captured by magnitude and extent  Tau‐MaX as a measure of global.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chen - MRS demonstrates elevated brain glutathione in vascular mild cognitive impairment.pdf,April,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Chodosh - Program of intensive support in emergency departments for care partners of.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chu - Brain tissue electrical conductivity as a promising biomarker for dementia assessment.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Chu - Lifespan exposures to rural urban conditions and later‐life cognitive function.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Clark - Feasibility of lifestyle interventions for cognition in adults with low education.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Clina - The association between cardiorespiratory fitness and resting‐state functional.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cui - Beyond binary classification  Comparing three region‐based multi‐phase A  staging.pdf,April,Yes,sex-aware consideration,none,menopause,1
Alzheimer s   Dementia - 2025 - DiFilippo - Examining the association between synaptic density and neurofibrillary tau.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Eggleston - Dementia care in a rapidly aging society.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ennis - The performance of plasma p‐tau217 in Black middle‐aged and older adults.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Farina - Association of Alzheimer s disease concerns with amyloid burden and lifestyle.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Fernandes Gomes - Alzheimer s disease traits in Parkinson s disease without  ‐synuclein.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Fructuoso - Disease‐specific neuropathological alterations of the locus coeruleus in.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Germann - Biomarker changes associated with fornix deep brain stimulation in Alzheimer s.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ghisays - Impact of APOE4‐related dementia risk in underrepresented groups from the All of.pdf,April,Yes,sex-aware consideration,none,sex specific,1
Alzheimer s   Dementia - 2025 - Giménez - Impact of Alzheimer s disease on sleep in adults with Down syndrome.pdf,April,Yes,sex-aware consideration,none,hormonal factors,1
Alzheimer s   Dementia - 2025 - González - Kidney function and cognitive aging and impairment among diverse Hispanic Latino.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Halloway - A multidomain trial for cognition in women with cardiovascular disease.pdf,April,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Handen - The Alzheimer s Biomarker Consortium Down Syndrome  ABC‐DS   A 10‐year report.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hannaway - Neuroimaging and plasma biomarker differences and commonalities in Lewy body.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Horn - Study partner characteristics moderate the prediction of cognitive decline in aging.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hu - Voluntary wheel running exercise improves sleep disorder  circadian rhythm disturbance.pdf,April,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Hüls - Epigenome‐wide association study of cerebrospinal fluid based biomarkers of.pdf,April,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Jury‐Garfe - Tau depletion diminishes vascular amyloid‐related deficits in a mouse model of.pdf,April,Yes,sex-aware consideration,none,estrogen; sex differences,2
Alzheimer s   Dementia - 2025 - Kashani - Retinal optical coherence tomography angiography imaging in population studies.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kim - Association of health‐care and long‐term care resources for patients with dementia.pdf,April,Yes,sex-aware consideration,none,stratified by sex,1
Alzheimer s   Dementia - 2025 - Kjaergaard - Influence of ethnicity on the diagnostic accuracy of plasma p‐tau217 for the.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lancaster - Perceptual discrimination of complex objects  Apolipoprotein E e4 gene‐dose.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Laurell - Hypothalamic volume  sleep  and APOE genotype in cognitively healthy adults.pdf,April,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Lee - Translation and cultural adaptation of tools to assess diverse Asian American and.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Leung - Alzheimer s Disease Sequencing Project release 4 whole genome sequencing dataset.pdf,April,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Li - Trajectory of cognitive decline before and after incident arrhythmias in older adults .pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Liu - Sleep macro‐architecture  nocturnal hypoxemia  and Alzheimer s disease‐related MRI.pdf,April,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Liu - Ubiquitin proteasome system in the different stages of dominantly inherited Alzheimer.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Llibre‐Guerra - Advancing dementia preparedness in Low and Middle Income countries  A.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Locke - Longitudinal neuropsychological evaluation allows diagnosis of MCI with less severe.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - McCullough - Regional effects of gantenerumab on neuroimaging biomarkers in the DIAN‐TU‐001.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Merlini - Multisystem failure  tipping points  and risk of Alzheimer s disease.pdf,April,Yes,sex-aware consideration,none,menopause; sex differences; stratified by sex,3
Alzheimer s   Dementia - 2025 - Messenger - PLCG2 modulates TREM2 expression and signaling in response to Alzheimer s.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mitchell - Choroidal and retinal vascular changes in adults with Down syndrome  Insights.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Morgan - I m his brain   A qualitative study of care partners supporting the inner strength.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Navalpur Shanmugam - Acute experimental colitis in 5xFAD Alzheimer s disease mice leads to.pdf,April,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Ng - Daily interactions with care recipients and cardiovascular reactivity among dementia.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Oyinlola - Whispers of memory  How families navigate dementia support beyond the biomedical.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Palmer - APOE4 carriers display loss of anticipatory cerebrovascular regulation across the.pdf,April,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Piura - Diagnostic performance of plasma p‐tau217 and A 42 40 biomarkers in the outpatient.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Popli - High rates of diagnostic discordance and co‐pathology  Insights into PSP from the.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Qin - Characterizing bidirectional transitions in mild cognitive impairment and.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Salloway - TRAILBLAZER‐ALZ 4  A phase 3 trial comparing donanemab with aducanumab on.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sawan - Co‐design of medication management guidance tools for people living with dementia.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sánchez‐Moreno - Performance of computed tomography and magnetic resonance morphometry in.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sharon - Slow wave synchrony during NREM sleep tracks cognitive impairment in prodromal.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Singleton - Longitudinal tau aggregation  atrophy  and cognitive decline in Alzheimer s.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Soriano - Discrepancies in assessing intellectual disability levels in adults with Down.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sund - Real‐world brain imaging in a population‐based cohort enables accurate markers for.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tanaka - Plasma proteomic analysis of intermuscular fat links muscle integrity with.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tang - Heterogeneous treatment effects of GLP‐1RAs and SGLT2is on risk of Alzheimer s.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Thanos - STING deletion protects against amyloid   induced Alzheimer s disease pathogenesis.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Tian - Physical and biopsychosocial frailty  cognitive phenotypes  and plasma biomarkers.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Torso - Predicting progression from MCI to dementia using cortical disarray measurement.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Travers Altizer - Unmet needs and nursing home placements in Black  Latino  and White.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Vattathil - GWAS links APOE to neuropsychiatric symptoms in mild cognitive impairment and.pdf,April,Yes,sex-aware consideration,none,sex interaction; sex-specific; sex-stratified,3
Alzheimer s   Dementia - 2025 - Ventura‐Antunes - Arteriolar degeneration and stiffness in cerebral amyloid angiopathy are.pdf,April,Yes,sex-aware consideration,none,stratified by sex,1
Alzheimer s   Dementia - 2025 - Wang - Structural variation detection and association analysis of whole‐genome‐sequence.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Xu - Choroid plexus free‐water correlates with glymphatic function in Alzheimer s disease.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zuelsdorff - Introducing social determinants of health to the Alzheimer s Disease Research.pdf,April,No,none,none,,0
Alzheimer s   Dementia - 2025 - Andrews - Age and sex are associated with Alzheimer s disease neuropathology in Down.pdf,May,Yes,sex-aware main focus,sex,menopause; sex; sex differences,3
Alzheimer s   Dementia - 2025 - Aslam - Genome‐wide association analyses identify candidate loci for amyloid imaging and.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Barrio - Participant perspectives on online interventions for diverse caregivers of persons.pdf,May,Yes,sex-aware consideration,none,gender-specific,1
Alzheimer s   Dementia - 2025 - Beamon - Non‐amnestic initial symptoms may be less prevalent in African American than White.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bernhardt - Alpha‐synuclein co‐pathology in Down syndrome‐associated Alzheimer s disease.pdf,May,Yes,sex-aware consideration,none,hormonal factors,1
Alzheimer s   Dementia - 2025 - Bian - Evaluating dietary quality and dietary inflammatory potential in cognitive.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bouzigues - Structural and functional connectivity in tau mutation carriers  from.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Bradley - Novel early‐onset Alzheimer‐associated genes influence risk through dysregulation.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Breithaupt - Enhancing early detection of cognitive impairment in primary care with the.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Burns - Effects of the SGLT2 inhibitor dapagliflozin in early Alzheimer s disease  A.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Carrigan - A novel approach to resilience and its links with education and Alzheimer s.pdf,May,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Charisis - Assessing the Global Impact of Brain Small Vessel Disease on Cognition  The.pdf,May,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Cho - Social determinants of health and their impact on depression in family caregivers of.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cohen - Detection of emergency department patients at risk of dementia through artificial.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cordella - Bezafibrate treatment rescues neurodevelopmental and neurodegenerative defects.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Cousins - Comparison of plasma p‐tau217 A 42  p‐tau217  and A 42 A 40 biomarkers by race to.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Delaby - Clinical use and reporting of neurofilament quantification in neurological.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Dhana - Impact of kidney function on biomarkers of neurodegeneration  white matter.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Fan - Genome‐wide association of tau neuroimaging and plasma biomarkers in adults with Down.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Fleming - Longitudinal study of body mass index in relation to Alzheimer s disease.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Fletcher - Modeling the importance of life exposure factors on memory performance in.pdf,May,Yes,sex-aware consideration,none,sex differences; sex-stratified; stratified by sex,3
Alzheimer s   Dementia - 2025 - Fu - Joint spatial associations of amyloid beta and tau pathology in Down syndrome and.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gholampour - Cell‐specific protein expression in Alzheimer s disease prefrontal cortex.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Goodwin - Comparing clinical features of behavioral variant frontotemporal dementia and.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Gracner - The burden of cognitive impairment.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Groechel - Associations between mid‐life social relationships and the risk of incident.pdf,May,Yes,sex-aware consideration,none,gender-specific,1
Alzheimer s   Dementia - 2025 - Gu - Integrating visual assessments and quantification methods for tau PET staging.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Hayes - Racial ethnic variations in the cardiometabolic determinants and blood pressure of.pdf,May,Yes,sex-aware main focus,female,female; menopause; sex differences; sex specific; sex-specific; sex-stratified,6
Alzheimer s   Dementia - 2025 - Hoffmann - Understanding participants  attitudes toward research in the CARE registry.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kang - Gut microbiome compositional and functional features associate with Alzheimer s.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kang - The dynamics of cognitive decline toward Alzheimer s disease progression  Results.pdf,May,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Kavanagh - Differences in the soluble and insoluble proteome between primary tauopathies.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kemna - Mitochondrial DNA affects tau phosphorylation in aging and Alzheimer s disease.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Khan - Cognitive impairment and dementia in Latin American individuals with parkinsonism.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Kirsebom - Repeated plasma p‐tau217 measurements to monitor clinical progression.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Labuza - Frontal cortex pyramidal neuron expression profiles differentiate the prodromal.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lane‐Donovan - Tau phosphorylation at Alzheimer s disease biomarker sites impairs its.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Leach - Gait variability as a marker of white matter integrity in individuals with Down.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Ledreux - Cargo of small extracellular vesicles from neuronal origin shows progression of.pdf,May,Yes,sex-aware consideration,none,estrogen; menopause; sex differences,3
Alzheimer s   Dementia - 2025 - Leming - Differential dementia detection from multimodal brain images in a real‐world.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Li - Association of environmental exposome and cognitive function among older adults with.pdf,May,Yes,sex-aware consideration,none,sex differences; sex-specific,2
Alzheimer s   Dementia - 2025 - Lisgaras - High‐frequency oscillations  250 Hz in people with Down syndrome and associated.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Lopez - Educational attainment  electroencephalographic rhythms  cortical structure  and.pdf,May,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Luckett - Harmonizing genotype array data to understand genetic risk for brain amyloid.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Malotaux - Plasma p‐tau231 in the presenilin 1 E280A autosomal dominant Alzheimer s disease.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Marengoni - Multimorbidity patterns and blood biomarkers of Alzheimer s disease in.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - McVea - PET‐measured amyloid beta accumulates at an accelerated rate in Down syndrome.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Mecca - Cerebrospinal fluid and brain positron emission tomography measures of synaptic.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Nolan - The association between poor sleep health and Alzheimer s disease structural.pdf,May,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Perez‐Corredor - ApoE3 Christchurch and tau interaction as a protective mechanism against.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Pillai - Associations between temporal lobe cortical NODDI measures and memory function in.pdf,May,Yes,sex-aware consideration,none,sex-stratified,1
Alzheimer s   Dementia - 2025 - Raghavan - Plasma NfL and GFAP for predicting VCI and related brain changes in community.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rahman‐Filipiak - Return of research results across the Alzheimer s Disease Research.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Reilly - Making outcome measures matter  Why should  what matters to people living with.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rhodus - Creating harmony at home via environmental cueing  A feasibility trial of a.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rosa‐Grilo - Ultra‐fast MRI for dementia diagnosis and treatment eligibility  A prospective.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rosbergen - Subcortical gray matter volumes and 5‐year dementia risk in individuals with.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Rudolph - Evaluation of plasma p‐tau217 for detecting amyloid pathology in a heterogeneous.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Saini - White matter trajectories in Down syndrome and Alzheimer s disease  Insights from.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sehrawat - Pittsburgh plasma p‐tau217  Classification accuracies for autosomal dominant and.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sekiya - Impact of hippocampal  ‐synuclein oligomers on cognitive trajectory in patients.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sewell - Longitudinal associations between self‐reported exercise levels and cognition in.pdf,May,Yes,sex-aware consideration,none,estrogen; sex differences; sex-specific; testosterone,4
Alzheimer s   Dementia - 2025 - Singh Solorzano - The psychological impact of the disclosure of the diagnosis of Alzheimer.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Sitnikova - Increased activity of Piezo1 channel in red blood cells is associated with.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Stankeviciute - Associations between objective sleep metrics and brain structure in.pdf,May,Yes,sex-aware main focus,sex,estrogen; female-specific; male-specific; menopause; sex; sex differences; sex-specific,7
Alzheimer s   Dementia - 2025 - Thorwald - Down syndrome with Alzheimer s disease brains have increased iron and associated.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Vanderlip - Integrating plasma p‐tau217 and digital cognitive assessments for early.pdf,May,Yes,sex-aware consideration,none,estrogen; sex differences; stratified by sex,3
Alzheimer s   Dementia - 2025 - Wang - Alzheimer s disease plasma biomarkers in the Midwestern Amish.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wang - Clinical features  biomarker profiles  and neuroimaging characteristics in patients.pdf,May,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Wang - MicroRNA‐153‐3p targets repressor element 1‐silencing transcription factor  REST .pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Wang - Prediction of longitudinal synaptic loss in Alzheimer s disease using tau PET and.pdf,May,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Watanabe - Clinicopathological characterization of vacuolar tauopathy associated with VCP.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Whitmer - Baseline characteristics of the U S  Study to Protect Brain Health Through.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yang - Synbiotics of Lactobacillus suilingensis and inulin alleviates cognitive impairment.pdf,May,Yes,sex-aware main focus,female,female; sex differences,2
Alzheimer s   Dementia - 2025 - Yeh - Competency‐based training boosts dementia knowledge and skills in home care workers.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Yu - The prevalence of apathy in Lewy body dementia  A systematic review and meta‐analysis.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zhang - Associations between A  deposition and neurometabolic alterations in Alzheimer s.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zhao - Gut‐derived bacterial vesicles carrying lipopolysaccharide promote.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zheng - TMEM59 deficiency activates chaperone‐mediated autophagy and ameliorates.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Zimmer - Neurovascular coupling and functional connectivity changes through the Alzheimer s.pdf,May,No,none,none,,0
Alzheimer s   Dementia - 2025 - Al Shamsi - The role of diet in moderating the relationship between symptoms of depression.pdf,June,Yes,sex-aware consideration,none,sex-specific,1
Alzheimer s   Dementia - 2025 - Alaka - Enhancing the validity of CAIDE dementia risk scores with resting heart rate and.pdf,June,Yes,sex-aware consideration,none,sex differences; sex-specific; sex-stratified; sex-stratified analysis,4
Alzheimer s   Dementia - 2025 - Balbim - 24‐hour activity cycle behaviors and gray matter volume in mild cognitive.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Barnett - Loss of lysosomal acid lipase contributes to Alzheimer s disease pathology and.pdf,June,Yes,sex-aware consideration,none,sex differences,1
Alzheimer s   Dementia - 2025 - Baumeister - Disease stage specific atrophy markers in Alzheimer s disease.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Baumgartner - Inhibition of the GSK3  Nav1 6 complex suppresses early‐stage Alzheimer s.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Behera - Alzheimer s disease and dementia in Japan  Epidemiological trends  regional.pdf,June,Yes,sex-aware consideration,none,gender-specific,1
Alzheimer s   Dementia - 2025 - Bertholim‐Nasciben - Exploring potential mechanisms of an African protective locus for.pdf,June,No,none,none,,0
Alzheimer s   Dementia - 2025 - Blue - Multi‐ancestry meta‐analysis identifies genetic modifiers of age‐at‐onset of.pdf,June,Yes,sex-aware consideration,none,estrogen; sex as a covariate; sex differences,3
Alzheimer s   Dementia - 2025 - Bowman - Identifying subphenotypes of patients undergoing post‐operative delirium.pdf,June,No,none,none,,0
