pdf,month,datasets_found,matched_row
Alzheimer s   Dementia - 2025 - Sárkány - Association between the use of levodopa carbidopa  Alzheimer s disease biomarkers.pdf,March,NACC,68
Alzheimer s   Dementia - 2025 - Schaar - Deciding on genetic testing for familial dementia  Perspectives of patients and.pdf,March,MAPT,69
Alzheimer s   Dementia - 2025 - Settimi - Examining the association between sleep apnea and total hippocampal volumes in.pdf,March,none,70
Alzheimer s   Dementia - 2025 - Shadyab - Effects of exercise versus usual care on older adults with amnestic mild.pdf,March,ADNI,71
Alzheimer s   Dementia - 2025 - Tang - Glycated hemoglobin and body mass index as mediators of GLP‐1RAs and Alzheimer s.pdf,March,none,72
Alzheimer s   Dementia - 2025 - Uchida - Quantification of perforant path fibers for early detection of Alzheimer s disease.pdf,March,none,73
Alzheimer s   Dementia - 2025 - Valle‐Tamayo - Nerve growth factor precursor alterations in neuron‐derived extracellular.pdf,March,none,74
Alzheimer s   Dementia - 2025 - Wang - Cognitive implications and associated transcriptomic signatures of distinct regional.pdf,March,UK Biobank,75
Alzheimer s   Dementia - 2025 - Wu - Tauopathy after long‐term cervical lymphadenectomy.pdf,March,UK Biobank,76
Alzheimer s   Dementia - 2025 - Young - Long sleep duration  cognitive performance  and the moderating role of depression .pdf,March,none,77
Alzheimer s   Dementia - 2025 - Zaheed - Sleep trajectories across three cognitive‐aging pathways in community older adults.pdf,March,none,78
Alzheimer s   Dementia - 2025 - Zhou - Blood‐based biomarkers for Alzheimer s disease in Down syndrome  A systematic review.pdf,March,none,79
Alzheimer s   Dementia - 2025 - dos Reis - Kynurenine pathway metabolite alterations in Down syndrome and Alzheimer s.pdf,March,none,80
Alzheimer s   Dementia - 2025 - Abu Raya - Sex differences in amyloid PET in a large  real‐world sample from the Imaging.pdf,April,AIBL,2
Alzheimer s   Dementia - 2025 - Adegboye - LC‐MS MS proteomics identifies plasma proteins related to cognition over 9‐year.pdf,April,none,3
Alzheimer s   Dementia - 2025 - Angrisani - Dementia caregiving in India  New evidence from a National representative.pdf,April,LASI-DAD,4
Alzheimer s   Dementia - 2025 - Bi - NDDRF 2 0  An update and expansion of risk factor knowledge base for personalized.pdf,April,ADNI; AIBL; UK Biobank; MAPT,5
Alzheimer s   Dementia - 2025 - Brown - Tau burden is best captured by magnitude and extent  Tau‐MaX as a measure of global.pdf,April,ADNI,6
Alzheimer s   Dementia - 2025 - Chen - MRS demonstrates elevated brain glutathione in vascular mild cognitive impairment.pdf,April,none,7
Alzheimer s   Dementia - 2025 - Chodosh - Program of intensive support in emergency departments for care partners of.pdf,April,none,8
Alzheimer s   Dementia - 2025 - Chu - Brain tissue electrical conductivity as a promising biomarker for dementia assessment.pdf,April,none,9
Alzheimer s   Dementia - 2025 - Chu - Lifespan exposures to rural urban conditions and later‐life cognitive function.pdf,April,none,10
Alzheimer s   Dementia - 2025 - Clark - Feasibility of lifestyle interventions for cognition in adults with low education.pdf,April,none,11
Alzheimer s   Dementia - 2025 - Clina - The association between cardiorespiratory fitness and resting‐state functional.pdf,April,UK Biobank,12
Alzheimer s   Dementia - 2025 - Cui - Beyond binary classification  Comparing three region‐based multi‐phase A  staging.pdf,April,none,13
Alzheimer s   Dementia - 2025 - DiFilippo - Examining the association between synaptic density and neurofibrillary tau.pdf,April,WRAP; ADNI; AIBL,14
Alzheimer s   Dementia - 2025 - Eggleston - Dementia care in a rapidly aging society.pdf,April,none,15
Alzheimer s   Dementia - 2025 - Ennis - The performance of plasma p‐tau217 in Black middle‐aged and older adults.pdf,April,WRAP,16
Alzheimer s   Dementia - 2025 - Farina - Association of Alzheimer s disease concerns with amyloid burden and lifestyle.pdf,April,A4 Study,17
Alzheimer s   Dementia - 2025 - Fernandes Gomes - Alzheimer s disease traits in Parkinson s disease without  ‐synuclein.pdf,April,none,18
Alzheimer s   Dementia - 2025 - Fructuoso - Disease‐specific neuropathological alterations of the locus coeruleus in.pdf,April,none,19
Alzheimer s   Dementia - 2025 - Germann - Biomarker changes associated with fornix deep brain stimulation in Alzheimer s.pdf,April,ADNI,20
Alzheimer s   Dementia - 2025 - Ghisays - Impact of APOE4‐related dementia risk in underrepresented groups from the All of.pdf,April,none,21
Alzheimer s   Dementia - 2025 - Giménez - Impact of Alzheimer s disease on sleep in adults with Down syndrome.pdf,April,none,22
Alzheimer s   Dementia - 2025 - González - Kidney function and cognitive aging and impairment among diverse Hispanic Latino.pdf,April,none,23
Alzheimer s   Dementia - 2025 - Halloway - A multidomain trial for cognition in women with cardiovascular disease.pdf,April,NACC,24
Alzheimer s   Dementia - 2025 - Handen - The Alzheimer s Biomarker Consortium Down Syndrome  ABC‐DS   A 10‐year report.pdf,April,ADNI,25
Alzheimer s   Dementia - 2025 - Hannaway - Neuroimaging and plasma biomarker differences and commonalities in Lewy body.pdf,April,none,26
Alzheimer s   Dementia - 2025 - Horn - Study partner characteristics moderate the prediction of cognitive decline in aging.pdf,April,NACC; A4 Study,27
Alzheimer s   Dementia - 2025 - Hu - Voluntary wheel running exercise improves sleep disorder  circadian rhythm disturbance.pdf,April,none,28
Alzheimer s   Dementia - 2025 - Hüls - Epigenome‐wide association study of cerebrospinal fluid based biomarkers of.pdf,April,ADNI; MAPT,29
Alzheimer s   Dementia - 2025 - Jury‐Garfe - Tau depletion diminishes vascular amyloid‐related deficits in a mouse model of.pdf,April,none,30
Alzheimer s   Dementia - 2025 - Kashani - Retinal optical coherence tomography angiography imaging in population studies.pdf,April,none,31
Alzheimer s   Dementia - 2025 - Kim - Association of health‐care and long‐term care resources for patients with dementia.pdf,April,none,32
Alzheimer s   Dementia - 2025 - Kjaergaard - Influence of ethnicity on the diagnostic accuracy of plasma p‐tau217 for the.pdf,April,A4 Study,33
Alzheimer s   Dementia - 2025 - Lancaster - Perceptual discrimination of complex objects  Apolipoprotein E e4 gene‐dose.pdf,April,A4 Study,34
Alzheimer s   Dementia - 2025 - Laurell - Hypothalamic volume  sleep  and APOE genotype in cognitively healthy adults.pdf,April,ALFA,35
Alzheimer s   Dementia - 2025 - Lee - Translation and cultural adaptation of tools to assess diverse Asian American and.pdf,April,none,36
Alzheimer s   Dementia - 2025 - Leung - Alzheimer s Disease Sequencing Project release 4 whole genome sequencing dataset.pdf,April,Knight ADRC; WHICAP; ROSMAP; NACC; WRAP; ADNI; UK Biobank; ADSP; A4 Study; MSBB; LASI-DAD,37
Alzheimer s   Dementia - 2025 - Li - Trajectory of cognitive decline before and after incident arrhythmias in older adults .pdf,April,none,38
Alzheimer s   Dementia - 2025 - Liu - Sleep macro‐architecture  nocturnal hypoxemia  and Alzheimer s disease‐related MRI.pdf,April,none,39
Alzheimer s   Dementia - 2025 - Liu - Ubiquitin proteasome system in the different stages of dominantly inherited Alzheimer.pdf,April,Knight ADRC,40
Alzheimer s   Dementia - 2025 - Llibre‐Guerra - Advancing dementia preparedness in Low and Middle Income countries  A.pdf,April,none,41
Alzheimer s   Dementia - 2025 - Locke - Longitudinal neuropsychological evaluation allows diagnosis of MCI with less severe.pdf,April,NACC,42
Alzheimer s   Dementia - 2025 - McCullough - Regional effects of gantenerumab on neuroimaging biomarkers in the DIAN‐TU‐001.pdf,April,none,43
Alzheimer s   Dementia - 2025 - Merlini - Multisystem failure  tipping points  and risk of Alzheimer s disease.pdf,April,UK Biobank,44
Alzheimer s   Dementia - 2025 - Messenger - PLCG2 modulates TREM2 expression and signaling in response to Alzheimer s.pdf,April,MSBB,45
Alzheimer s   Dementia - 2025 - Mitchell - Choroidal and retinal vascular changes in adults with Down syndrome  Insights.pdf,April,none,46
Alzheimer s   Dementia - 2025 - Morgan - I m his brain   A qualitative study of care partners supporting the inner strength.pdf,April,none,47
Alzheimer s   Dementia - 2025 - Navalpur Shanmugam - Acute experimental colitis in 5xFAD Alzheimer s disease mice leads to.pdf,April,none,48
Alzheimer s   Dementia - 2025 - Ng - Daily interactions with care recipients and cardiovascular reactivity among dementia.pdf,April,none,49
Alzheimer s   Dementia - 2025 - Oyinlola - Whispers of memory  How families navigate dementia support beyond the biomedical.pdf,April,none,50
Alzheimer s   Dementia - 2025 - Palmer - APOE4 carriers display loss of anticipatory cerebrovascular regulation across the.pdf,April,NACC,51
Alzheimer s   Dementia - 2025 - Piura - Diagnostic performance of plasma p‐tau217 and A 42 40 biomarkers in the outpatient.pdf,April,none,52
Alzheimer s   Dementia - 2025 - Popli - High rates of diagnostic discordance and co‐pathology  Insights into PSP from the.pdf,April,NACC,53
Alzheimer s   Dementia - 2025 - Qin - Characterizing bidirectional transitions in mild cognitive impairment and.pdf,April,ADNI,54
Alzheimer s   Dementia - 2025 - Salloway - TRAILBLAZER‐ALZ 4  A phase 3 trial comparing donanemab with aducanumab on.pdf,April,none,55
Alzheimer s   Dementia - 2025 - Sawan - Co‐design of medication management guidance tools for people living with dementia.pdf,April,none,56
Alzheimer s   Dementia - 2025 - Sánchez‐Moreno - Performance of computed tomography and magnetic resonance morphometry in.pdf,April,none,57
Alzheimer s   Dementia - 2025 - Sharon - Slow wave synchrony during NREM sleep tracks cognitive impairment in prodromal.pdf,April,none,58
Alzheimer s   Dementia - 2025 - Singleton - Longitudinal tau aggregation  atrophy  and cognitive decline in Alzheimer s.pdf,April,none,59
Alzheimer s   Dementia - 2025 - Soriano - Discrepancies in assessing intellectual disability levels in adults with Down.pdf,April,ADNI,60
Alzheimer s   Dementia - 2025 - Sund - Real‐world brain imaging in a population‐based cohort enables accurate markers for.pdf,April,ADNI,61
Alzheimer s   Dementia - 2025 - Tanaka - Plasma proteomic analysis of intermuscular fat links muscle integrity with.pdf,April,BLSA,62
Alzheimer s   Dementia - 2025 - Tang - Heterogeneous treatment effects of GLP‐1RAs and SGLT2is on risk of Alzheimer s.pdf,April,none,63
Alzheimer s   Dementia - 2025 - Thanos - STING deletion protects against amyloid   induced Alzheimer s disease pathogenesis.pdf,April,none,64
Alzheimer s   Dementia - 2025 - Tian - Physical and biopsychosocial frailty  cognitive phenotypes  and plasma biomarkers.pdf,April,ADNI; UK Biobank; MAPT,65
Alzheimer s   Dementia - 2025 - Torso - Predicting progression from MCI to dementia using cortical disarray measurement.pdf,April,NACC; ADNI,66
Alzheimer s   Dementia - 2025 - Travers Altizer - Unmet needs and nursing home placements in Black  Latino  and White.pdf,April,none,67
Alzheimer s   Dementia - 2025 - Vattathil - GWAS links APOE to neuropsychiatric symptoms in mild cognitive impairment and.pdf,April,NACC; ADNI; ADSP,68
Alzheimer s   Dementia - 2025 - Ventura‐Antunes - Arteriolar degeneration and stiffness in cerebral amyloid angiopathy are.pdf,April,none,69
Alzheimer s   Dementia - 2025 - Wang - Structural variation detection and association analysis of whole‐genome‐sequence.pdf,April,MAPT; ADSP,70
Alzheimer s   Dementia - 2025 - Xu - Choroid plexus free‐water correlates with glymphatic function in Alzheimer s disease.pdf,April,ADNI,71
Alzheimer s   Dementia - 2025 - Zuelsdorff - Introducing social determinants of health to the Alzheimer s Disease Research.pdf,April,NACC,72
Alzheimer s   Dementia - 2025 - Andrews - Age and sex are associated with Alzheimer s disease neuropathology in Down.pdf,May,none,2
Alzheimer s   Dementia - 2025 - Aslam - Genome‐wide association analyses identify candidate loci for amyloid imaging and.pdf,May,none,3
Alzheimer s   Dementia - 2025 - Barrio - Participant perspectives on online interventions for diverse caregivers of persons.pdf,May,none,4
Alzheimer s   Dementia - 2025 - Beamon - Non‐amnestic initial symptoms may be less prevalent in African American than White.pdf,May,NACC,5
Alzheimer s   Dementia - 2025 - Bernhardt - Alpha‐synuclein co‐pathology in Down syndrome‐associated Alzheimer s disease.pdf,May,none,6
Alzheimer s   Dementia - 2025 - Bian - Evaluating dietary quality and dietary inflammatory potential in cognitive.pdf,May,UK Biobank,7
Alzheimer s   Dementia - 2025 - Bouzigues - Structural and functional connectivity in tau mutation carriers  from.pdf,May,NACC; MAPT,8
Alzheimer s   Dementia - 2025 - Bradley - Novel early‐onset Alzheimer‐associated genes influence risk through dysregulation.pdf,May,Knight ADRC; WHICAP; ROSMAP; BIOCARD; NACC; ADNI; UK Biobank,9
Alzheimer s   Dementia - 2025 - Breithaupt - Enhancing early detection of cognitive impairment in primary care with the.pdf,May,none,10
Alzheimer s   Dementia - 2025 - Burns - Effects of the SGLT2 inhibitor dapagliflozin in early Alzheimer s disease  A.pdf,May,none,11
Alzheimer s   Dementia - 2025 - Carrigan - A novel approach to resilience and its links with education and Alzheimer s.pdf,May,ADNI,12
Alzheimer s   Dementia - 2025 - Charisis - Assessing the Global Impact of Brain Small Vessel Disease on Cognition  The.pdf,May,none,13
Alzheimer s   Dementia - 2025 - Cho - Social determinants of health and their impact on depression in family caregivers of.pdf,May,none,14
Alzheimer s   Dementia - 2025 - Cohen - Detection of emergency department patients at risk of dementia through artificial.pdf,May,none,15
Alzheimer s   Dementia - 2025 - Cordella - Bezafibrate treatment rescues neurodevelopmental and neurodegenerative defects.pdf,May,MAPT,16
Alzheimer s   Dementia - 2025 - Cousins - Comparison of plasma p‐tau217 A 42  p‐tau217  and A 42 A 40 biomarkers by race to.pdf,May,NACC; ADNI,17
Alzheimer s   Dementia - 2025 - Delaby - Clinical use and reporting of neurofilament quantification in neurological.pdf,May,none,18
Alzheimer s   Dementia - 2025 - Dhana - Impact of kidney function on biomarkers of neurodegeneration  white matter.pdf,May,UK Biobank,19
Alzheimer s   Dementia - 2025 - Fan - Genome‐wide association of tau neuroimaging and plasma biomarkers in adults with Down.pdf,May,MAPT,20
Alzheimer s   Dementia - 2025 - Fleming - Longitudinal study of body mass index in relation to Alzheimer s disease.pdf,May,WRAP,21
Alzheimer s   Dementia - 2025 - Fletcher - Modeling the importance of life exposure factors on memory performance in.pdf,May,none,22
Alzheimer s   Dementia - 2025 - Fu - Joint spatial associations of amyloid beta and tau pathology in Down syndrome and.pdf,May,ADNI,23
Alzheimer s   Dementia - 2025 - Gholampour - Cell‐specific protein expression in Alzheimer s disease prefrontal cortex.pdf,May,NACC,24
Alzheimer s   Dementia - 2025 - Goodwin - Comparing clinical features of behavioral variant frontotemporal dementia and.pdf,May,NACC,25
Alzheimer s   Dementia - 2025 - Gracner - The burden of cognitive impairment.pdf,May,none,26
Alzheimer s   Dementia - 2025 - Groechel - Associations between mid‐life social relationships and the risk of incident.pdf,May,none,27
Alzheimer s   Dementia - 2025 - Gu - Integrating visual assessments and quantification methods for tau PET staging.pdf,May,ADNI,28
Alzheimer s   Dementia - 2025 - Hayes - Racial ethnic variations in the cardiometabolic determinants and blood pressure of.pdf,May,UK Biobank; ADSP,29
Alzheimer s   Dementia - 2025 - Hoffmann - Understanding participants  attitudes toward research in the CARE registry.pdf,May,NACC,30
Alzheimer s   Dementia - 2025 - Kang - Gut microbiome compositional and functional features associate with Alzheimer s.pdf,May,NACC; WRAP,31
Alzheimer s   Dementia - 2025 - Kang - The dynamics of cognitive decline toward Alzheimer s disease progression  Results.pdf,May,BLSA; Knight ADRC; WHICAP; BIOCARD; NACC; WRAP; ADNI; AIBL; ADSP; A4 Study; KBASE,32
Alzheimer s   Dementia - 2025 - Kavanagh - Differences in the soluble and insoluble proteome between primary tauopathies.pdf,May,MAPT,33
Alzheimer s   Dementia - 2025 - Kemna - Mitochondrial DNA affects tau phosphorylation in aging and Alzheimer s disease.pdf,May,none,34
Alzheimer s   Dementia - 2025 - Khan - Cognitive impairment and dementia in Latin American individuals with parkinsonism.pdf,May,none,35
Alzheimer s   Dementia - 2025 - Kirsebom - Repeated plasma p‐tau217 measurements to monitor clinical progression.pdf,May,ADNI,36
Alzheimer s   Dementia - 2025 - Labuza - Frontal cortex pyramidal neuron expression profiles differentiate the prodromal.pdf,May,none,37
Alzheimer s   Dementia - 2025 - Lane‐Donovan - Tau phosphorylation at Alzheimer s disease biomarker sites impairs its.pdf,May,MAPT,38
Alzheimer s   Dementia - 2025 - Leach - Gait variability as a marker of white matter integrity in individuals with Down.pdf,May,none,39
Alzheimer s   Dementia - 2025 - Ledreux - Cargo of small extracellular vesicles from neuronal origin shows progression of.pdf,May,none,40
Alzheimer s   Dementia - 2025 - Leming - Differential dementia detection from multimodal brain images in a real‐world.pdf,May,UK Biobank,41
Alzheimer s   Dementia - 2025 - Li - Association of environmental exposome and cognitive function among older adults with.pdf,May,ADNI,42
Alzheimer s   Dementia - 2025 - Lisgaras - High‐frequency oscillations  250 Hz in people with Down syndrome and associated.pdf,May,none,43
Alzheimer s   Dementia - 2025 - Lopez - Educational attainment  electroencephalographic rhythms  cortical structure  and.pdf,May,AIBL,44
Alzheimer s   Dementia - 2025 - Luckett - Harmonizing genotype array data to understand genetic risk for brain amyloid.pdf,May,PREVENT-AD; ADSP; ALFA; EPAD; DELCODE,45
Alzheimer s   Dementia - 2025 - Malotaux - Plasma p‐tau231 in the presenilin 1 E280A autosomal dominant Alzheimer s disease.pdf,May,PREVENT-AD,46
Alzheimer s   Dementia - 2025 - Marengoni - Multimorbidity patterns and blood biomarkers of Alzheimer s disease in.pdf,May,none,47
Alzheimer s   Dementia - 2025 - McVea - PET‐measured amyloid beta accumulates at an accelerated rate in Down syndrome.pdf,May,ADNI,48
Alzheimer s   Dementia - 2025 - Mecca - Cerebrospinal fluid and brain positron emission tomography measures of synaptic.pdf,May,none,49
Alzheimer s   Dementia - 2025 - Nolan - The association between poor sleep health and Alzheimer s disease structural.pdf,May,UK Biobank,50
Alzheimer s   Dementia - 2025 - Perez‐Corredor - ApoE3 Christchurch and tau interaction as a protective mechanism against.pdf,May,UK Biobank; MAPT,51
Alzheimer s   Dementia - 2025 - Pillai - Associations between temporal lobe cortical NODDI measures and memory function in.pdf,May,none,52
Alzheimer s   Dementia - 2025 - Raghavan - Plasma NfL and GFAP for predicting VCI and related brain changes in community.pdf,May,none,53
Alzheimer s   Dementia - 2025 - Rahman‐Filipiak - Return of research results across the Alzheimer s Disease Research.pdf,May,NACC; ADNI,54
Alzheimer s   Dementia - 2025 - Reilly - Making outcome measures matter  Why should  what matters to people living with.pdf,May,none,55
Alzheimer s   Dementia - 2025 - Rhodus - Creating harmony at home via environmental cueing  A feasibility trial of a.pdf,May,none,56
Alzheimer s   Dementia - 2025 - Rosa‐Grilo - Ultra‐fast MRI for dementia diagnosis and treatment eligibility  A prospective.pdf,May,ADNI,57
Alzheimer s   Dementia - 2025 - Rosbergen - Subcortical gray matter volumes and 5‐year dementia risk in individuals with.pdf,May,NACC,58
Alzheimer s   Dementia - 2025 - Rudolph - Evaluation of plasma p‐tau217 for detecting amyloid pathology in a heterogeneous.pdf,May,NACC; WRAP,59
Alzheimer s   Dementia - 2025 - Saini - White matter trajectories in Down syndrome and Alzheimer s disease  Insights from.pdf,May,ADNI,60
Alzheimer s   Dementia - 2025 - Sehrawat - Pittsburgh plasma p‐tau217  Classification accuracies for autosomal dominant and.pdf,May,none,61
Alzheimer s   Dementia - 2025 - Sekiya - Impact of hippocampal  ‐synuclein oligomers on cognitive trajectory in patients.pdf,May,none,62
Alzheimer s   Dementia - 2025 - Sewell - Longitudinal associations between self‐reported exercise levels and cognition in.pdf,May,UK Biobank,63
Alzheimer s   Dementia - 2025 - Singh Solorzano - The psychological impact of the disclosure of the diagnosis of Alzheimer.pdf,May,none,64
Alzheimer s   Dementia - 2025 - Sitnikova - Increased activity of Piezo1 channel in red blood cells is associated with.pdf,May,none,65
Alzheimer s   Dementia - 2025 - Stankeviciute - Associations between objective sleep metrics and brain structure in.pdf,May,ALFA; EPAD,66
Alzheimer s   Dementia - 2025 - Thorwald - Down syndrome with Alzheimer s disease brains have increased iron and associated.pdf,May,none,67
Alzheimer s   Dementia - 2025 - Vanderlip - Integrating plasma p‐tau217 and digital cognitive assessments for early.pdf,May,AIBL; A4 Study,68
Alzheimer s   Dementia - 2025 - Wang - Alzheimer s disease plasma biomarkers in the Midwestern Amish.pdf,May,none,69
Alzheimer s   Dementia - 2025 - Wang - Clinical features  biomarker profiles  and neuroimaging characteristics in patients.pdf,May,ADNI; AIBL,70
Alzheimer s   Dementia - 2025 - Wang - MicroRNA‐153‐3p targets repressor element 1‐silencing transcription factor  REST .pdf,May,MAPT,71
Alzheimer s   Dementia - 2025 - Wang - Prediction of longitudinal synaptic loss in Alzheimer s disease using tau PET and.pdf,May,none,72
Alzheimer s   Dementia - 2025 - Watanabe - Clinicopathological characterization of vacuolar tauopathy associated with VCP.pdf,May,MAPT,73
Alzheimer s   Dementia - 2025 - Whitmer - Baseline characteristics of the U S  Study to Protect Brain Health Through.pdf,May,ADNI,74
Alzheimer s   Dementia - 2025 - Yang - Synbiotics of Lactobacillus suilingensis and inulin alleviates cognitive impairment.pdf,May,none,75
Alzheimer s   Dementia - 2025 - Yeh - Competency‐based training boosts dementia knowledge and skills in home care workers.pdf,May,none,76
Alzheimer s   Dementia - 2025 - Yu - The prevalence of apathy in Lewy body dementia  A systematic review and meta‐analysis.pdf,May,none,77
Alzheimer s   Dementia - 2025 - Zhang - Associations between A  deposition and neurometabolic alterations in Alzheimer s.pdf,May,none,78
Alzheimer s   Dementia - 2025 - Zhao - Gut‐derived bacterial vesicles carrying lipopolysaccharide promote.pdf,May,none,79
Alzheimer s   Dementia - 2025 - Zheng - TMEM59 deficiency activates chaperone‐mediated autophagy and ameliorates.pdf,May,none,80
Alzheimer s   Dementia - 2025 - Zimmer - Neurovascular coupling and functional connectivity changes through the Alzheimer s.pdf,May,ADNI,81
Alzheimer s   Dementia - 2025 - Al Shamsi - The role of diet in moderating the relationship between symptoms of depression.pdf,June,AIBL; UK Biobank,2
Alzheimer s   Dementia - 2025 - Alaka - Enhancing the validity of CAIDE dementia risk scores with resting heart rate and.pdf,June,NACC,3
Alzheimer s   Dementia - 2025 - Balbim - 24‐hour activity cycle behaviors and gray matter volume in mild cognitive.pdf,June,ADNI,4
Alzheimer s   Dementia - 2025 - Barnett - Loss of lysosomal acid lipase contributes to Alzheimer s disease pathology and.pdf,June,MAPT,5
Alzheimer s   Dementia - 2025 - Baumeister - Disease stage specific atrophy markers in Alzheimer s disease.pdf,June,DELCODE,6
Alzheimer s   Dementia - 2025 - Baumgartner - Inhibition of the GSK3  Nav1 6 complex suppresses early‐stage Alzheimer s.pdf,June,none,7
Alzheimer s   Dementia - 2025 - Behera - Alzheimer s disease and dementia in Japan  Epidemiological trends  regional.pdf,June,none,8
Alzheimer s   Dementia - 2025 - Bertholim‐Nasciben - Exploring potential mechanisms of an African protective locus for.pdf,June,Knight ADRC; WHICAP; NACC; WRAP; ADNI; ADSP; A4 Study,9
Alzheimer s   Dementia - 2025 - Blue - Multi‐ancestry meta‐analysis identifies genetic modifiers of age‐at‐onset of.pdf,June,WHICAP; ROSMAP; BIOCARD; NACC; ADNI; J-ADNI; ADSP,10
Alzheimer s   Dementia - 2025 - Bowman - Identifying subphenotypes of patients undergoing post‐operative delirium.pdf,June,none,11
Alzheimer s   Dementia - 2025 - Buwembo - Family caregivers  perceptions of quality of dementia self‐care in Wakiso.pdf,June,none,12
Alzheimer s   Dementia - 2025 - Calvo - Cognitive and brain health in women with early bilateral salpingo‐oophorectomy .pdf,June,UK Biobank,13
Alzheimer s   Dementia - 2025 - Chakraborty - Genome‐wide study links cardiometabolic factors to cognition via.pdf,June,UK Biobank,14
Alzheimer s   Dementia - 2025 - Che - Plasma placental growth factor as a biomarker for subcortical ischemic vascular.pdf,June,none,15
Alzheimer s   Dementia - 2025 - Chu - Glymphatic activity in behavioral variant frontotemporal dementia  Link with vascular.pdf,June,NACC; MAPT,16
Alzheimer s   Dementia - 2025 - Daskoulidou - The Alzheimer s disease‐associated complement receptor 1 variant confers risk.pdf,June,none,17
Alzheimer s   Dementia - 2025 - Detcheverry - Investigating the oxidative stress vascular brain injury axis in mild.pdf,June,ADNI,18
Alzheimer s   Dementia - 2025 - Eshetie - The risk of delirium or dementia‐related hospitalization among individuals living.pdf,June,none,19
Alzheimer s   Dementia - 2025 - Farombi - The role of community advisory boards in enhancing recruitment and retention in.pdf,June,ADSP,20
Alzheimer s   Dementia - 2025 - Fernández‐Matarrubia - Early microglial and astrocyte reactivity in preclinical Alzheimer s.pdf,June,none,21
Alzheimer s   Dementia - 2025 - Fleischman - ARTS is associated with vascular risk factors  MCI  dementia  and stroke.pdf,June,none,22
Alzheimer s   Dementia - 2025 - Friedman - Nearly 4 in 10 extended families of older adults in the United States include an.pdf,June,none,23
Alzheimer s   Dementia - 2025 - Full - Development of a web platform to advance data‐driven recruitment for ADRD research.pdf,June,none,24
Alzheimer s   Dementia - 2025 - Gao - Mitochondrial complex I deficiency induces Alzheimer s disease like signatures that.pdf,June,MAPT,25
Alzheimer s   Dementia - 2025 - Garcia‐Cordero - Language impairment is associated with faster progression in progressive.pdf,June,none,26
Alzheimer s   Dementia - 2025 - Gawor - Alzheimer s disease and its co‐pathologies  Implications for hippocampal.pdf,June,none,27
Alzheimer s   Dementia - 2025 - Gogola - Impact of racialization on neuroimaging and plasma biomarkers of Alzheimer s.pdf,June,ADNI; A4 Study,28
Alzheimer s   Dementia - 2025 - Grill - Five years of the Institute on Methods and Protocols for Advancement of Clinical.pdf,June,none,29
Alzheimer s   Dementia - 2025 - Gueorguieva - Donanemab exposure‐response in early symptomatic Alzheimer s disease.pdf,June,ADNI,30
Alzheimer s   Dementia - 2025 - Guo - Sensory impairment and dementia risk among older adults in rural South Africa.pdf,June,BLSA; LASI-DAD,31
Alzheimer s   Dementia - 2025 - Gupta - Comprehensive characterization of the RNA editing landscape in the human aging.pdf,June,ROSMAP; MSBB,32
Alzheimer s   Dementia - 2025 - Howard - Cognitive outcomes of deep brain stimulation depend on age and hippocampal.pdf,June,UK Biobank,33
Alzheimer s   Dementia - 2025 - Huang - Plasma proteomic analysis identifies proteins and pathways related to Alzheimer s.pdf,June,ADNI,34
Alzheimer s   Dementia - 2025 - Hüls - Metabolic dysregulation in Alzheimer s disease  A brain metabolomics approach.pdf,June,none,35
Alzheimer s   Dementia - 2025 - Idris - Staging of Alzheimer s disease progression in Down syndrome using mixed clinical.pdf,June,PREVENT-AD,36
Alzheimer s   Dementia - 2025 - Ikanga - Association between neuropsychiatric symptoms and neurodegeneration‐related plasma.pdf,June,none,37
Alzheimer s   Dementia - 2025 - Jung - Validation of criteria for frontotemporal dementia with right anterior temporal lobe.pdf,June,none,38
Alzheimer s   Dementia - 2025 - Juul‐Madsen - Familial Alzheimer s disease mutation identifies novel role of SORLA in.pdf,June,none,39
Alzheimer s   Dementia - 2025 - Kacerova - Role of B vitamins in modulating homocysteine and metabolic pathways linked to.pdf,June,none,40
Alzheimer s   Dementia - 2025 - Knopman - Discrepancies between CSF biomarker and PET determinations of elevated brain.pdf,June,ADNI,41
Alzheimer s   Dementia - 2025 - Kuchenbecker - Novel set of plasma proteins classifies Alzheimer s dementia in African.pdf,June,AddNeuroMed; ANMerge,42
Alzheimer s   Dementia - 2025 - Lao - Longitudinal changes in white matter hyperintensity volume accelerate across the.pdf,June,none,43
Alzheimer s   Dementia - 2025 - Leggett - Validating the CG‐STYLE measure in family caregivers of individuals living with.pdf,June,none,44
Alzheimer s   Dementia - 2025 - Liaw - Association between ischemic stroke  hemorrhagic stroke  dementia  and rs201118034.pdf,June,none,45
Alzheimer s   Dementia - 2025 - Lin - Astrovascular decoupling in awake 5 FAD mice is associated with reduced astrocytic.pdf,June,UK Biobank,46
Alzheimer s   Dementia - 2025 - Liu - Longitudinal methods for Alzheimer s cognitive status prediction with deep learning.pdf,June,NACC,47
Alzheimer s   Dementia - 2025 - Lopresti - Comparison of visual and analytic methods of Alzheimer s disease pathologic.pdf,June,NACC; ADNI; J-ADNI,48
Alzheimer s   Dementia - 2025 - Ludwig‐Borycz - Food insecurity and cognitive domains among older United States adults .pdf,June,none,49
Alzheimer s   Dementia - 2025 - Ma'u - Estimating the impact of risk factor reduction on dementia prevalence in New Zealand.pdf,June,none,50
